source_ref,target_ref,relation,confidence,note,element_text
AA.I.A.R2,ac-91-78a,guidance,auto,from the Task A References line,Management of a system failure.
AA.I.A.R2,afh,explanation,auto,from the Task A References line,Management of a system failure.
AA.I.A.R2,risk-management,explanation,auto,from the Task A References line,Management of a system failure.
AA.I.A.R2,seaplane,explanation,auto,from the Task A References line,Management of a system failure.
AA.I.A.R3,ac-120-76e,guidance,auto,from the Task A References line,Monitoring and management of automated systems.
AA.I.A.R3,ac-91-78a,guidance,auto,from the Task A References line,Monitoring and management of automated systems.
AA.I.A.R3,afh,explanation,auto,from the Task A References line,Monitoring and management of automated systems.
AA.I.A.R3,risk-management,explanation,auto,from the Task A References line,Monitoring and management of automated systems.
AA.I.A.R3,seaplane,explanation,auto,from the Task A References line,Monitoring and management of automated systems.
AA.I.A.R4,ac-120-76e,guidance,auto,from the Task A References line,Following checklists or procedures.
AA.I.A.R4,ac-91-78a,guidance,auto,from the Task A References line,Following checklists or procedures.
AA.I.A.R4,afh,explanation,auto,from the Task A References line,Following checklists or procedures.
AA.I.A.R4,risk-management,explanation,auto,from the Task A References line,Following checklists or procedures.
AA.I.A.R4,seaplane,explanation,auto,from the Task A References line,Following checklists or procedures.
AA.I.A.S1,ac-120-76e,guidance,auto,from the Task A References line,Explain and describe the operation of the aircraft systems and components using correct terminology.
AA.I.A.S1,ac-91-78a,guidance,auto,from the Task A References line,Explain and describe the operation of the aircraft systems and components using correct terminology.
AA.I.A.S1,afh,explanation,auto,from the Task A References line,Explain and describe the operation of the aircraft systems and components using correct terminology.
AA.I.A.S1,risk-management,explanation,auto,from the Task A References line,Explain and describe the operation of the aircraft systems and components using correct terminology.
AA.I.A.S1,seaplane,explanation,auto,from the Task A References line,Explain and describe the operation of the aircraft systems and components using correct terminology.
AA.I.A.S2,ac-120-76e,guidance,auto,from the Task A References line,"Recall immediate action items or memory items, if appropriate."
AA.I.A.S2,ac-91-78a,guidance,auto,from the Task A References line,"Recall immediate action items or memory items, if appropriate."
AA.I.A.S2,afh,explanation,auto,from the Task A References line,"Recall immediate action items or memory items, if appropriate."
AA.I.A.S2,risk-management,explanation,auto,from the Task A References line,"Recall immediate action items or memory items, if appropriate."
AA.I.A.S2,seaplane,explanation,auto,from the Task A References line,"Recall immediate action items or memory items, if appropriate."
AA.I.A.S3,ac-120-76e,guidance,auto,from the Task A References line,Identify system or component limitations listed in the POH/AFM.
AA.I.A.S3,ac-91-78a,guidance,auto,from the Task A References line,Identify system or component limitations listed in the POH/AFM.
AA.I.A.S3,afh,explanation,auto,from the Task A References line,Identify system or component limitations listed in the POH/AFM.
AA.I.A.S3,risk-management,explanation,auto,from the Task A References line,Identify system or component limitations listed in the POH/AFM.
AA.I.A.S3,seaplane,explanation,auto,from the Task A References line,Identify system or component limitations listed in the POH/AFM.
AA.I.A.S4,ac-120-76e,guidance,auto,from the Task A References line,"Demonstrate or describe, as appropriate, the process for deferring inoperative equipment (e.g., MEL) and using a CDL."
AA.I.A.S4,ac-91-78a,guidance,auto,from the Task A References line,"Demonstrate or describe, as appropriate, the process for deferring inoperative equipment (e.g., MEL) and using a CDL."
AA.I.A.S4,afh,explanation,auto,from the Task A References line,"Demonstrate or describe, as appropriate, the process for deferring inoperative equipment (e.g., MEL) and using a CDL."
AA.I.A.S4,risk-management,explanation,auto,from the Task A References line,"Demonstrate or describe, as appropriate, the process for deferring inoperative equipment (e.g., MEL) and using a CDL."
AA.I.A.S4,seaplane,explanation,auto,from the Task A References line,"Demonstrate or describe, as appropriate, the process for deferring inoperative equipment (e.g., MEL) and using a CDL."
AA.I.A.S5,ac-120-76e,guidance,auto,from the Task A References line,"Comply with operations specifications, management specifications, and letters of authorization, if applicable."
AA.I.A.S5,ac-91-78a,guidance,auto,from the Task A References line,"Comply with operations specifications, management specifications, and letters of authorization, if applicable."
AA.I.A.S5,afh,explanation,auto,from the Task A References line,"Comply with operations specifications, management specifications, and letters of authorization, if applicable."
AA.I.A.S5,risk-management,explanation,auto,from the Task A References line,"Comply with operations specifications, management specifications, and letters of authorization, if applicable."
AA.I.A.S5,seaplane,explanation,auto,from the Task A References line,"Comply with operations specifications, management specifications, and letters of authorization, if applicable."
AA.I.A.S6,ac-120-76e,guidance,auto,from the Task A References line,"Through the use of the appropriate checklists and normal and abnormal procedures, demonstrate the proper use of the aircraft systems, subsystems, and devices, as determined by the evaluator."
AA.I.A.S6,ac-91-78a,guidance,auto,from the Task A References line,"Through the use of the appropriate checklists and normal and abnormal procedures, demonstrate the proper use of the aircraft systems, subsystems, and devices, as determined by the evaluator."
AA.I.A.S6,afh,explanation,auto,from the Task A References line,"Through the use of the appropriate checklists and normal and abnormal procedures, demonstrate the proper use of the aircraft systems, subsystems, and devices, as determined by the evaluator."
AA.I.A.S6,risk-management,explanation,auto,from the Task A References line,"Through the use of the appropriate checklists and normal and abnormal procedures, demonstrate the proper use of the aircraft systems, subsystems, and devices, as determined by the evaluator."
AA.I.A.S6,seaplane,explanation,auto,from the Task A References line,"Through the use of the appropriate checklists and normal and abnormal procedures, demonstrate the proper use of the aircraft systems, subsystems, and devices, as determined by the evaluator."
AA.I.B.K1,14cfr:part-1,regulation,auto,from the Task B References line,"Elements related to performance and limitations by explaining the use of charts, tables, and data to determine performance."
AA.I.B.K1,14cfr:part-91,regulation,auto,from the Task B References line,"Elements related to performance and limitations by explaining the use of charts, tables, and data to determine performance."
AA.I.B.K1,ac-61-107b,guidance,auto,from the Task B References line,"Elements related to performance and limitations by explaining the use of charts, tables, and data to determine performance."
AA.I.B.K1,ac-91-74b,guidance,auto,from the Task B References line,"Elements related to performance and limitations by explaining the use of charts, tables, and data to determine performance."
AA.I.B.K2,14cfr:part-1,regulation,auto,from the Task B References line,"How to determine the following, as applicable to the class sought:"
AA.I.B.K2,14cfr:part-91,regulation,auto,from the Task B References line,"How to determine the following, as applicable to the class sought:"
AA.I.B.K2,ac-61-107b,guidance,auto,from the Task B References line,"How to determine the following, as applicable to the class sought:"
AA.I.B.K2,ac-91-74b,guidance,auto,from the Task B References line,"How to determine the following, as applicable to the class sought:"
AA.I.B.K2a,14cfr:part-1,regulation,auto,from the Task B References line,a. Accelerate-stop / accelerate-go distance
AA.I.B.K2a,14cfr:part-91,regulation,auto,from the Task B References line,a. Accelerate-stop / accelerate-go distance
AA.I.B.K2a,ac-61-107b,guidance,auto,from the Task B References line,a. Accelerate-stop / accelerate-go distance
AA.I.B.K2a,ac-91-74b,guidance,auto,from the Task B References line,a. Accelerate-stop / accelerate-go distance
AA.I.B.K2b,14cfr:part-1,regulation,auto,from the Task B References line,"b. Takeoff performance [e.g., balance field length and Velocity, Minimum Control (ground) (VMCG)] 4"
AA.I.B.K2b,14cfr:part-91,regulation,auto,from the Task B References line,"b. Takeoff performance [e.g., balance field length and Velocity, Minimum Control (ground) (VMCG)] 4"
AA.I.B.K2b,ac-61-107b,guidance,auto,from the Task B References line,"b. Takeoff performance [e.g., balance field length and Velocity, Minimum Control (ground) (VMCG)] 4"
AA.I.B.K2b,ac-91-74b,guidance,auto,from the Task B References line,"b. Takeoff performance [e.g., balance field length and Velocity, Minimum Control (ground) (VMCG)] 4"
AA.I.B.K2c,14cfr:part-1,regulation,auto,from the Task B References line,c. Climb performance
AA.I.B.K2c,14cfr:part-91,regulation,auto,from the Task B References line,c. Climb performance
AA.I.B.K2c,ac-61-107b,guidance,auto,from the Task B References line,c. Climb performance
AA.I.B.K2c,ac-91-74b,guidance,auto,from the Task B References line,c. Climb performance
AA.I.B.K2d,14cfr:part-1,regulation,auto,from the Task B References line,"d. Cruise performance (e.g., optimum and maximum operating altitudes)"
AA.I.B.K2d,14cfr:part-91,regulation,auto,from the Task B References line,"d. Cruise performance (e.g., optimum and maximum operating altitudes)"
AA.I.B.K2d,ac-61-107b,guidance,auto,from the Task B References line,"d. Cruise performance (e.g., optimum and maximum operating altitudes)"
AA.I.B.K2d,ac-91-74b,guidance,auto,from the Task B References line,"d. Cruise performance (e.g., optimum and maximum operating altitudes)"
AA.I.B.K2e,14cfr:part-1,regulation,auto,from the Task B References line,e. Descent performance
AA.I.B.K2e,14cfr:part-91,regulation,auto,from the Task B References line,e. Descent performance
AA.I.B.K2e,ac-61-107b,guidance,auto,from the Task B References line,e. Descent performance
AA.I.B.K2e,ac-91-74b,guidance,auto,from the Task B References line,e. Descent performance
AA.I.B.K2f,14cfr:part-1,regulation,auto,from the Task B References line,f. Landing performance
AA.I.B.K2f,14cfr:part-91,regulation,auto,from the Task B References line,f. Landing performance
AA.I.B.K2f,ac-61-107b,guidance,auto,from the Task B References line,f. Landing performance
AA.I.B.K2f,ac-91-74b,guidance,auto,from the Task B References line,f. Landing performance
AA.I.B.K2g,14cfr:part-1,regulation,auto,from the Task B References line,"g. Performance with an inoperative powerplant for all phases of flight (AMEL, AMES)"
AA.I.B.K2g,14cfr:part-91,regulation,auto,from the Task B References line,"g. Performance with an inoperative powerplant for all phases of flight (AMEL, AMES)"
AA.I.B.K2g,ac-61-107b,guidance,auto,from the Task B References line,"g. Performance with an inoperative powerplant for all phases of flight (AMEL, AMES)"
AA.I.B.K2g,ac-91-74b,guidance,auto,from the Task B References line,"g. Performance with an inoperative powerplant for all phases of flight (AMEL, AMES)"
AA.I.B.K2h,14cfr:part-1,regulation,auto,from the Task B References line,h. Weight and balance and how to shift weight
AA.I.B.K2h,14cfr:part-91,regulation,auto,from the Task B References line,h. Weight and balance and how to shift weight
AA.I.B.K2h,ac-61-107b,guidance,auto,from the Task B References line,h. Weight and balance and how to shift weight
AA.I.B.K2h,ac-91-74b,guidance,auto,from the Task B References line,h. Weight and balance and how to shift weight
AA.I.B.K3,14cfr:part-1,regulation,auto,from the Task B References line,"Factors affecting performance, including:"
AA.I.B.K3,14cfr:part-91,regulation,auto,from the Task B References line,"Factors affecting performance, including:"
AA.I.B.K3,ac-61-107b,guidance,auto,from the Task B References line,"Factors affecting performance, including:"
AA.I.B.K3,ac-91-74b,guidance,auto,from the Task B References line,"Factors affecting performance, including:"
AA.I.B.K3a,14cfr:part-1,regulation,auto,from the Task B References line,a. Atmospheric conditions
AA.I.B.K3a,14cfr:part-91,regulation,auto,from the Task B References line,a. Atmospheric conditions
AA.I.B.K3a,ac-61-107b,guidance,auto,from the Task B References line,a. Atmospheric conditions
AA.I.B.K3a,ac-91-74b,guidance,auto,from the Task B References line,a. Atmospheric conditions
AA.I.B.K3b,14cfr:part-1,regulation,auto,from the Task B References line,b. Pilot technique
AA.I.B.K3b,14cfr:part-91,regulation,auto,from the Task B References line,b. Pilot technique
AA.I.B.K3b,ac-61-107b,guidance,auto,from the Task B References line,b. Pilot technique
AA.I.B.K3b,ac-91-74b,guidance,auto,from the Task B References line,b. Pilot technique
AA.I.B.K3c,14cfr:part-1,regulation,auto,from the Task B References line,"c. Aircraft configuration (e.g., flap setting)"
AA.I.B.K3c,14cfr:part-91,regulation,auto,from the Task B References line,"c. Aircraft configuration (e.g., flap setting)"
AA.I.B.K3c,ac-61-107b,guidance,auto,from the Task B References line,"c. Aircraft configuration (e.g., flap setting)"
AA.I.B.K3c,ac-91-74b,guidance,auto,from the Task B References line,"c. Aircraft configuration (e.g., flap setting)"
AA.I.B.K3d,14cfr:part-1,regulation,auto,from the Task B References line,"d. Airport environment (e.g., runway condition, land and hold short operations (LAHSO))"
AA.I.B.K3d,14cfr:part-91,regulation,auto,from the Task B References line,"d. Airport environment (e.g., runway condition, land and hold short operations (LAHSO))"
AA.I.B.K3d,ac-61-107b,guidance,auto,from the Task B References line,"d. Airport environment (e.g., runway condition, land and hold short operations (LAHSO))"
